id,date,title,context,decision,alternatives,rationale_reconstruction,outcome,criticism,scale,durability,strategic_leverage,counterfactual,stakeholder_breadth,impact_score,risk,reversibility,confidence,sources
bismarck_1862_minister_president,1862,Accepting the Prussian Minister-Presidency,Prussia faced a constitutional conflict over army reform and budget authority.,Accepted the minister-presidency and governed despite parliamentary opposition.,Compromise immediately; refuse office; seek settlement first.,Preserve executive capacity and complete military reform before constitutional accommodation.,Government survived; army reform proceeded.,Deepened constitutional conflict and normalized strong executive government.,8,8,9,9,7,82,High,Low,Very High,"Jonathan Steinberg, Bismarck: A Life | Encyclopaedia Britannica — Otto von Bismarck"
bismarck_1863_poland,1863,Supporting Russia during the Polish January Uprising,A Polish uprising threatened Russia and could affect Prussia's eastern security.,Aligned diplomatically with Russia, including the Alvensleben Convention.,Maintain neutrality; support Polish nationalists; seek mediation.,Prevent a hostile Polish mobilization and preserve Russian goodwill.,Prussia improved relations with Russia and reduced security risk on its eastern flank.,Damaged liberal/nationalist legitimacy and was coercive toward Polish aspirations.,7,6,7,6,8,67,Medium,Medium,High,"Jonathan Steinberg, Bismarck: A Life | Bismarck diplomatic history"
bismarck_1864_denmark,1864,Using the Schleswig-Holstein crisis against Denmark,The Schleswig-Holstein question created a German-national conflict with Denmark.,Cooperated with Austria in a limited war against Denmark.,Act alone; avoid war; pursue an international settlement.,Create a bounded conflict that increases Prussian leverage while retaining Austria as a temporary partner.,Denmark was defeated; Schleswig and Holstein came under joint Prussian-Austrian administration.,The settlement preserved an unresolved issue with Austria.,7,8,9,8,7,78,High,Medium,Very High,"Jonathan Steinberg, Bismarck: A Life | Encyclopaedia Britannica — Schleswig-Holstein"
bismarck_1866_austria,1866,Fighting Austria in the Seven Weeks' War,Prussia and Austria competed for leadership of the German states.,Pushed the crisis to war and then sought limited peace after victory.,Accept dual leadership; avoid war; destroy Austria as a power.,Exclude Austria from German affairs without destroying it as a future counterweight or partner.,Prussia won decisively; the North German Confederation followed.,War could have escalated or produced a worse coalition outcome.,10,9,10,10,9,96,Very High,Low,Very High,"Jonathan Steinberg, Bismarck: A Life | Lothar Gall, Bismarck: The White Revolutionary"
bismarck_1867_north_german_confederation,1867,Building the North German Confederation,Victory over Austria created an opening for political reorganization of northern Germany.,Established a federal structure dominated by Prussia.,Centralized annexation; restore loose confederation; delay settlement.,Convert battlefield leverage into an institutional order acceptable to multiple German states.,Prussia's leadership became institutionalized across northern Germany.,Retained strong monarchical and Prussian dominance.,9,9,9,9,9,90,Medium,Low,Very High,"Encyclopaedia Britannica — North German Confederation | Jonathan Steinberg, Bismarck: A Life"
bismarck_1870_ems,1870,Editing and publishing the Ems Dispatch,A diplomatic dispute over the Spanish succession and French demands produced a high-risk confrontation.,Edited the dispatch before publication, intensifying the perceived insult.,Suppress it; publish full text; continue private diplomacy.,Change political incentives so war appears more defensible for Prussia.,France declared war; German states rallied; war accelerated unification.,Information manipulation intentionally increased escalation risk.,10,10,10,10,10,100,Very High,Very Low,Very High,"German History in Documents and Images — Ems Dispatch | Otto von Bismarck, Gedanken und Erinnerungen"
bismarck_1871_federal_empire,1871,Consolidating German unification as a federal empire,Victory over France opened the way for southern German states to join the northern federation.,Supported a federal German Empire under Prussian kingship.,Unitary state; loose confederation; postpone settlement.,Balance Prussian dominance with autonomy of German states.,German Empire proclaimed in January 1871.,The constitutional system concentrated substantial monarchical and military power.,10,10,10,9,10,98,High,Low,Very High,Encyclopaedia Britannica — German Empire | German History in Documents and Images
bismarck_1871_kulturkampf,1871-1878,Launching the Kulturkampf,Bismarck perceived the Catholic Church and Centre movement as competitors to state authority.,Introduced measures restricting Catholic institutional influence.,Tolerate opposition; negotiate with Centre; narrow measures.,Strengthen state authority and prevent an institution from organizing resistance.,Catholic institutions were restricted but the Centre Party remained resilient; policy was later moderated.,Coercion strengthened political resistance rather than eliminating it.,7,6,7,7,8,68,High,Medium,High,"Encyclopaedia Britannica — Kulturkampf | Jonathan Steinberg, Bismarck: A Life"
bismarck_1878_anti_socialist,1878,Adopting Anti-Socialist Laws,After assassination attempts on Wilhelm I Bismarck framed socialist organization as a threat.,Secured laws restricting socialist meetings organizations and publications.,Legal competition; target only violent actors; broader compromise.,Contain an ideological movement through legal repression.,Socialist organization was constrained but survived and expanded electorally.,Coercion failed to eliminate the movement and damaged legitimacy.,7,5,5,7,8,62,High,Medium,Very High,Encyclopaedia Britannica — Bismarck | German social policy histories
bismarck_1878_congress_berlin,1878,Hosting the Congress of Berlin,The Russo-Turkish War threatened a wider European crisis.,Acted as broker to revise the settlement and contain great-power rivalry.,Back one power; avoid mediation; allow bilateral settlement.,Prevent a Russo-British/Austrian confrontation and preserve Germany as broker.,Treaty of Berlin temporarily stabilized great-power relations.,Balkan tensions were postponed rather than resolved.,9,8,9,8,10,87,High,Medium,High,Encyclopaedia Britannica — Congress of Berlin | Bismarck diplomatic history
