id,date,title,context,decision,alternatives,rationale_reconstruction,outcome,criticism,scale,durability,strategic_leverage,counterfactual,stakeholder_breadth,impact_score,risk,reversibility,confidence,sources
churchill_1908_budget,1908,Backing Liberal social reform,Churchill joined the Liberal government during an era of social and fiscal conflict.,Supported old-age pensions and related welfare reform.,Minimal state intervention; delay reform; voluntary provision.,Build social stability and political support through targeted state capacity.,Helped shape the Liberal welfare agenda.,Fiscal and class conflict intensified political polarization.,7,8,7,7,8,74,Medium,Medium,High,"Martin Gilbert, Winston S. Churchill | International Churchill Society"
churchill_1915_gallipoli,1915,Supporting the Dardanelles/Gallipoli strategy,Allies sought an indirect route to aid Russia and break Ottoman power.,Strongly supported naval and amphibious Dardanelles operations.,Focus solely on Western Front; naval-only pressure; delay.,Seek a strategic breakthrough outside the Western Front.,Campaign failed at high human and political cost.,Underestimated operational complexity and Ottoman resistance.,9,7,9,8,9,84,Very High,Low,Very High,"Martin Gilbert, Winston S. Churchill | International Churchill Society"
churchill_1917_convoy,1917,Supporting the convoy system,German U-boats threatened Britain's maritime supply system.,Backed wider convoy adoption and anti-submarine measures.,Independent routing; delay convoys; offensive hunting only.,Reduce exposure through concentration and escort.,Convoying became central to reducing submarine effectiveness.,Required scarce escorts and did not solve the threat alone.,8,8,8,8,9,81,High,High,High,"Imperial War Museums — Battle of the Atlantic | Churchill wartime writings"
churchill_1936_rearmament,1936,Advocating accelerated rearmament,Germany was rearming while British leaders remained cautious.,Pushed publicly for faster military preparation.,Continue gradual rearmament; emphasize diplomacy; avoid confrontation.,Buy time before Britain's strategic position deteriorated.,His warnings gained credibility as German expansion continued.,Politically isolating and not a complete alternative strategy.,9,9,8,10,9,90,High,Medium,Very High,"Martin Gilbert, Winston S. Churchill | International Churchill Society"
churchill_1938_munich,1938,Opposing the Munich settlement,Germany demanded the Sudetenland and Britain/France sought to avert war.,Rejected the settlement and warned of strategic danger.,Accept appeasement; immediate war; prolonged negotiation.,Treat concession as a transfer of initiative to Hitler.,He gained retrospective credibility after further German expansion.,His alternatives still carried serious war risk.,9,9,9,10,9,92,High,Medium,Very High,"Martin Gilbert, Winston S. Churchill | International Churchill Society"
churchill_1940_premiership,1940,Accepting wartime premiership and coalition leadership,After the Norway crisis and Chamberlain's loss of support Britain needed a coalition leader.,Accepted premiership and formed a national coalition.,Maintain Chamberlain; minority government; negotiate settlement.,Consolidate political authority behind continued resistance.,Churchill became prime minister on May 10 1940.,Leadership depended on coalition institutions and military competence not rhetoric alone.,10,10,10,10,10,100,Very High,Low,Very High,"International Churchill Society | Martin Gilbert, Winston S. Churchill"
churchill_1940_no_negotiation,1940,Rejecting negotiated settlement after France fell,Britain faced invasion risk and some officials considered exploring terms.,Led government toward continued resistance.,Explore peace terms; limited armistice; delay commitment.,Preserve strategic options and prevent Nazi domination of Europe.,Britain remained in the war and later became central to the Allied coalition.,Enormous immediate risk depended on national resilience.,10,10,10,10,10,100,Very High,Very Low,Very High,"Churchill, The Second World War | Churchill Documents | Martin Gilbert"
churchill_1940_dunkirk,1940,Prioritizing the Dunkirk evacuation,The BEF was trapped in northern France after the German breakthrough.,Prioritized evacuation and national mobilization.,Immediate counteroffensive; accept mass capture; evacuation without mobilization.,Preserve trained manpower and convert disaster into strategic survival.,Hundreds of thousands of Allied troops were evacuated.,Operational defeat was later heavily mythologized.,9,9,9,9,10,91,Very High,Low,Very High,Churchill Documents | Imperial War Museums
churchill_1940_battle_britain,1940,Maintaining national mobilization through the Battle of Britain,Britain faced German air attack and invasion risk.,Maintained fighter defense civil defense and political cohesion.,Seek settlement; reduce defense effort; premature offensive.,Preserve ability to deny German air superiority.,Britain prevented German air superiority sufficient for invasion.,Success relied heavily on RAF systems intelligence and commanders.,10,9,10,9,10,96,Very High,Low,Very High,Imperial War Museums — Battle of Britain | Churchill Documents
churchill_1941_atlantic_charter,1941,Deepening the Anglo-American strategic relationship,Britain needed U.S. support before formal American entry.,Worked with Roosevelt on common strategic principles and cooperation.,Wait for U.S. entry; rely on empire; seek accommodation.,Build coalition before formal belligerency.,The relationship became central to Allied strategy and the postwar order.,Charter principles conflicted with imperial realities.,10,10,10,9,10,98,Very High,Medium,Very High,International Churchill Society | Churchill Documents
churchill_1941_soviet_alignment,1941,Supporting Anglo-Soviet cooperation after Barbarossa,Germany invaded the USSR creating a necessary but hostile partner.,Supported practical alliance with Stalin against Germany.,Avoid partnership; condition support heavily; separate settlement.,Use Soviet power to balance Nazi Germany despite ideological conflict.,Britain and USSR became major Allied partners.,Alliance required cooperation with a future strategic rival.,10,9,10,9,10,96,Very High,Low,Very High,International Churchill Society | Churchill wartime papers
churchill_1943_tehran,1943,Accepting high-level coordination at Tehran,Allies needed agreement on second-front planning and postwar questions.,Participated in three-power coordination while protecting British interests.,Resist Soviet role; separate Anglo-American strategy; delay commitments.,Trade some autonomy for coalition coherence.,Major wartime and postwar principles were coordinated.,Britain's declining relative power limited maneuvering room.,9,9,10,9,10,93,Very High,Medium,Very High,Churchill Documents | International Churchill Society
churchill_1945_europe,1945,Seeking limits on Soviet expansion in Europe,Red Army control of Eastern Europe was becoming a postwar reality.,Sought political arrangements and contingency planning to constrain Soviet dominance.,Accept sphere fully; immediate confrontation; disengage.,Preserve balance without triggering a new war.,Western powers established negotiation mechanisms but Soviet control remained decisive.,British power was insufficient to impose outcomes alone.,10,9,10,9,10,96,Very High,Low,High,Churchill Documents | International Churchill Society
churchill_1946_iron_curtain,1946,Launching the Iron Curtain warning,Postwar relations with USSR deteriorated and Soviet influence expanded.,Publicly argued for Anglo-American unity against coercive expansion.,Remain silent; accommodation; confrontation.,Shape Western strategy and public understanding of the new balance.,Speech became a defining Cold War reference point.,Rhetorical framing could also harden bloc divisions.,9,9,9,9,10,91,High,High,Very High,International Churchill Society | Churchill speeches
